step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
98187,345,0.0,-8.33499999999999,287,0.9918,293.9,0.009,-0.0586
98448,346,0.0,-8.204999999999991,261,0.9917,292.7,0.0107,-0.0576
98735,347,0.0,-8.334999999999988,287,0.9916,291.3,0.007,-0.0577
99173,348,100.0,-9.089999999999973,438,0.9914,289.3,0.0144,-0.0586
99399,349,0.0,-8.029999999999994,226,0.9913,288.2,0.0075,-0.0539
99676,350,0.0,-8.284999999999984,277,0.9911,287.0,0.0128,-0.0595
99865,351,0.0,-7.844999999999997,189,0.9911,286.1,0.0082,-0.0544
100160,352,0.0,-8.374999999999982,295,0.9909,259.3,0.0108,-0.0678
100425,353,500.0,-8.22499999999999,265,0.9908,258.5,0.0076,-0.0797
100687,354,0.0,-8.20999999999999,262,0.9907,257.7,0.0096,-0.0777
101029,355,0.0,-8.609999999999985,342,0.9905,256.6,0.0094,-0.0779
101287,356,200.0,-8.189999999999998,258,0.9904,255.8,0.0118,-0.0811
101506,357,0.0,-7.994999999999995,219,0.9903,255.1,0.0133,-0.0833
101801,358,0.0,-8.374999999999988,295,0.9902,254.2,0.0121,-0.0823
102115,359,0.0,-7.769999999999985,314,0.99,253.2,0.0101,-0.0789
102511,360,200.0,-8.879999999999983,396,0.9899,252.1,0.0112,-0.0801
102746,361,0.0,-7.374999999999989,235,0.9898,251.4,0.0118,-0.0821
103087,362,0.0,-8.604999999999977,341,0.9896,250.4,0.0119,-0.0796
103287,363,0.0,-7.899999999999996,200,0.9895,249.8,0.0101,-0.0789
103607,364,300.0,-8.499999999999986,320,0.9894,248.8,0.0082,-0.0799
103911,365,300.0,-7.719999999999981,304,0.9892,247.9,0.0094,-0.08
104221,366,300.0,-8.449999999999985,310,0.9891,247.0,0.011,-0.0831
104522,367,0.0,-7.704999999999988,301,0.989,246.1,0.0103,-0.0817
104761,368,0.0,-8.094999999999992,239,0.9889,245.4,0.0104,-0.0844
105068,369,0.0,-8.434999999999986,307,0.9887,244.5,0.0111,-0.0782
105324,370,0.0,-8.179999999999993,256,0.9886,243.8,0.0105,-0.0833
105513,371,0.0,-7.844999999999997,189,0.9885,243.3,0.007,-0.082
105835,372,0.0,-8.509999999999984,322,0.9884,242.4,0.0079,-0.0784
106051,373,0.0,-7.979999999999994,216,0.9883,241.9,0.0114,-0.0804
106319,374,0.0,-8.23999999999999,268,0.9882,241.2,0.0098,-0.0807
106638,375,200.0,-8.494999999999994,319,0.988,240.3,0.0097,-0.0818
