step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
643456,1641,5990.0,16.154,730.4,0.0,312.8,0.0,0.0
648976,1651,4420.0,14.236,566.3,0.0,313.6,0.0,0.0
655352,1661,4640.0,16.006000000000004,584.6,0.0,314.4,0.0,0.0
660168,1671,4350.0,14.845999999999998,580.0,0.0,315.0,0.0,0.0
666624,1681,4890.0,15.98,572.9,0.0,315.9,0.0,0.0
672960,1691,4630.0,13.41,592.2,0.0,316.6,0.0,0.0
678744,1701,4120.0,11.846,565.0,0.0,317.5,0.0,0.0
686632,1711,6580.0,18.626,804.4,0.0,318.4,0.0,0.0
692504,1721,3500.0,11.359999999999998,527.6,0.0,319.2,0.0,0.0
697112,1731,4400.0,12.363999999999999,566.0,0.0,319.7,0.0,0.0
702792,1741,4900.0,15.45,617.6,0.0,294.7,0.0,0.0
708392,1751,4180.0,13.882000000000001,540.6,0.0,295.4,0.0,0.0
714656,1761,4330.0,14.232000000000003,562.1,0.0,296.3,0.0,0.0
720904,1771,4100.0,12.16,600.7,0.0,297.0,0.0,0.0
726912,1781,5980.0,17.865999999999996,685.9,0.0,297.8,0.0,0.0
733656,1791,7140.0,20.732,756.3,0.0,298.6,0.0,0.0
739576,1801,4800.0,15.683999999999997,571.0,0.0,299.4,0.0,0.0
745432,1811,4620.0,14.091999999999999,573.3,0.0,300.1,0.0,0.0
750216,1821,2720.0,10.052000000000001,454.5,0.0,300.7,0.0,0.0
754552,1831,2280.0,8.014,439.0,0.0,301.2,0.0,0.0
759272,1841,3260.0,11.106,459.8,0.0,301.8,0.0,0.0
764872,1851,3850.0,12.623999999999999,510.1,0.0,302.5,0.0,0.0
770104,1861,5350.0,16.369999999999997,651.2,0.0,303.1,0.0,0.0
775112,1871,1570.0,6.859999999999999,409.2,0.0,303.7,0.0,0.0
779720,1881,3620.0,11.3,573.6,0.0,304.2,0.0,0.0
786952,1891,3850.0,13.969999999999999,564.5,0.0,305.1,0.0,0.0
791880,1901,3670.0,12.364,554.1,0.0,305.6,0.0,0.0
797272,1911,4440.0,15.086000000000002,593.9,0.0,306.3,0.0,0.0
804208,1921,4620.0,15.832000000000003,578.4,0.0,292.1,0.0,0.0
810776,1931,5410.0,18.018,697.8,0.0,292.9,0.0,0.0
815048,1941,3480.0,12.203999999999999,507.6,0.0,293.4,0.0,0.0
820280,1951,4160.0,14.694000000000003,503.8,0.0,294.0,0.0,0.0
824824,1961,3000.0,10.238,484.7,0.0,294.5,0.0,0.0
829888,1971,3510.0,11.89,512.5,0.0,295.1,0.0,0.0
834232,1981,2340.0,7.4719999999999995,439.4,0.0,295.6,0.0,0.0
838040,1991,2060.0,6.982000000000001,410.7,0.0,296.0,0.0,0.0
843888,2001,3410.0,11.518,440.3,0.0,296.6,0.0,0.0
847744,2011,2810.0,9.704,474.9,0.0,297.1,0.0,0.0
852144,2021,2170.0,7.0600000000000005,426.3,0.0,297.5,0.0,0.0
856296,2031,3020.0,9.886,468.8,0.0,298.0,0.0,0.0
861416,2041,4060.0,12.456,498.5,0.0,298.5,0.0,0.0
866504,2051,2250.0,8.607999999999999,468.6,0.0,299.1,0.0,0.0
871544,2061,2800.0,10.664,474.3,0.0,299.6,0.0,0.0
875712,2071,2270.0,6.709999999999999,428.6,0.0,300.0,0.0,0.0
